Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
353.46,4.54,38.77,3.0,0.0,0.0,6.0,0.77,2.0,26.0,-1.11
282.38,3.4,36.92,4.0,0.0,0.0,2.0,0.73,0.0,20.0,2.26
278.36,3.75,42.22,4.0,1.0,0.0,3.0,0.79,3.0,21.0,-1.87
254.33,2.62,36.92,4.0,0.0,0.0,0.0,0.62,0.0,18.0,3.4
344.45,4.24,36.92,4.0,0.0,0.0,3.0,0.77,1.0,25.0,1.75
378.39,4.11,53.99,5.0,0.0,0.0,3.0,0.55,0.0,26.0,2.78
404.48,4.54,53.99,5.0,0.0,0.0,4.0,0.54,1.0,29.0,2.26
440.5,5.89,36.92,4.0,0.0,1.0,4.0,0.55,1.0,31.0,1.83
296.41,3.79,36.92,4.0,0.0,0.0,3.0,0.74,0.0,21.0,2.19
437.16,7.13,33.61,2.0,1.0,1.0,4.0,0.36,4.0,27.0,-1.06
437.16,7.13,33.61,2.0,1.0,1.0,4.0,0.36,4.0,27.0,-0.96
406.91,4.81,53.99,5.0,0.0,0.0,4.0,0.53,1.0,28.0,1.6
270.32,1.94,57.15,5.0,1.0,0.0,0.0,0.68,0.0,19.0,3.8
442.6,5.96,53.99,5.0,0.0,1.0,8.0,0.28,1.0,32.0,1.94
406.95,5.52,36.92,4.0,0.0,1.0,4.0,0.62,1.0,28.0,2.03
419.44,2.81,144.19,8.0,2.0,0.0,6.0,0.46,3.0,28.0,-2.37
310.39,3.32,53.99,5.0,0.0,0.0,3.0,0.59,0.0,22.0,2.41
370.59,5.89,6.48,4.0,0.0,1.0,4.0,0.62,2.0,25.0,-1.03
422.47,4.68,53.99,5.0,0.0,0.0,4.0,0.52,1.0,30.0,2.3
420.93,5.05,53.99,5.0,0.0,1.0,4.0,0.5,1.0,29.0,2.45
391.89,4.29,48.0,4.0,0.0,0.0,2.0,0.71,1.0,27.0,1.46
367.23,4.92,44.76,4.0,0.0,0.0,6.0,0.54,2.0,24.0,-0.36
373.37,2.08,136.35,7.0,2.0,0.0,5.0,0.6,2.0,27.0,-1.88
326.43,3.36,57.15,5.0,1.0,0.0,3.0,0.81,0.0,23.0,3.43
422.95,4.84,57.15,5.0,1.0,0.0,4.0,0.7,1.0,29.0,2.5
171.16,0.09,81.19,5.0,1.0,0.0,3.0,0.52,1.0,12.0,-1.67
282.37,4.56,34.15,4.0,1.0,0.0,4.0,0.76,3.0,20.0,-1.73
368.44,5.54,61.04,2.0,3.0,1.0,4.0,0.39,5.0,28.0,0.17
274.27,2.16,57.9,5.0,0.0,0.0,4.0,0.85,2.0,20.0,0.7
304.29,3.88,35.53,3.0,0.0,0.0,5.0,0.62,2.0,22.0,-0.68
267.33,3.35,40.54,3.0,1.0,0.0,4.0,0.68,2.0,20.0,-0.15
289.29,4.24,71.82,3.0,1.0,0.0,2.0,0.44,2.0,22.0,-0.68
349.38,2.43,98.48,8.0,1.0,0.0,4.0,0.61,4.0,25.0,-2.87
340.45,4.25,62.22,4.0,2.0,0.0,5.0,0.73,3.0,24.0,-1.28
338.4,4.47,66.76,4.0,2.0,0.0,6.0,0.46,2.0,25.0,1.13
270.28,3.0,66.76,4.0,2.0,0.0,4.0,0.66,2.0,20.0,0.41
324.38,4.16,44.76,4.0,0.0,0.0,8.0,0.42,2.0,24.0,-0.21
313.31,3.51,78.67,5.0,0.0,0.0,6.0,0.35,2.0,23.0,-0.5
427.51,4.13,78.97,9.0,0.0,0.0,6.0,0.54,3.0,29.0,-0.78
340.42,4.78,44.76,4.0,0.0,0.0,9.0,0.37,2.0,25.0,-0.19
324.38,4.16,44.76,4.0,0.0,0.0,8.0,0.42,2.0,24.0,-0.23
284.31,3.31,55.76,4.0,1.0,0.0,5.0,0.68,2.0,21.0,0.18
343.34,3.52,87.9,6.0,0.0,0.0,7.0,0.33,2.0,25.0,-0.42
284.31,3.31,55.76,4.0,1.0,0.0,5.0,0.68,2.0,21.0,0.16
294.4,3.71,23.55,3.0,0.0,0.0,5.0,0.62,2.0,22.0,-0.37
304.29,3.88,35.53,3.0,0.0,0.0,5.0,0.62,2.0,22.0,-0.72
210.24,2.7,53.6,3.0,2.0,0.0,2.0,0.68,3.0,16.0,-1.47
469.54,3.35,91.68,9.0,1.0,0.0,6.0,0.43,3.0,32.0,-1.94
457.48,0.19,164.63,9.0,5.0,0.0,3.0,0.4,1.0,33.0,1.3
297.35,3.36,49.77,4.0,1.0,0.0,5.0,0.68,2.0,22.0,-0.06
284.31,3.31,55.76,4.0,1.0,0.0,5.0,0.68,2.0,21.0,0.24
284.31,3.31,55.76,4.0,1.0,0.0,5.0,0.68,2.0,21.0,0.24
286.3,3.74,35.53,3.0,0.0,0.0,5.0,0.62,2.0,21.0,-0.51
337.2,4.91,35.53,3.0,0.0,0.0,5.0,0.57,2.0,22.0,-0.7
297.27,2.63,37.38,2.0,0.0,0.0,2.0,0.79,1.0,19.0,-2.38
284.31,3.31,55.76,4.0,1.0,0.0,5.0,0.68,2.0,21.0,0.19
259.64,2.01,60.16,2.0,1.0,0.0,1.0,0.84,1.0,15.0,-2.22
347.21,4.36,35.53,3.0,0.0,0.0,5.0,0.6,2.0,21.0,-0.32
314.34,3.31,64.99,5.0,1.0,0.0,6.0,0.65,2.0,23.0,0.25
270.55,3.18,86.28,4.0,0.0,0.0,2.0,0.61,1.0,17.0,-1.31
405.83,3.26,53.51,4.0,0.0,0.0,3.0,0.79,2.0,26.0,-2.61
368.47,5.56,44.76,4.0,0.0,1.0,11.0,0.3,2.0,27.0,-0.16
